"None"	"1"	"0"
"1"	"2"	"10.2303883470203"
"2"	"3"	"11.5423095161263"
"2"	"4"	"14.3435287751897"
"2"	"5"	"13.8994860584716"
"2"	"6"	"16.7343798165672"
"2"	"7"	"13.7284009273782"
"2"	"8"	"12.9688635169721"
"2"	"9"	"17.6851254800378"
"2"	"10"	"14.2460040423958"
"2"	"11"	"11.3332531536338"
"2"	"12"	"14.0660536145307"
"3"	"13"	"20.0971223761892"
"7"	"14"	"20.2724988055616"
"8"	"15"	"17.5761849647001"
"8"	"16"	"19.6440230370925"
"8"	"17"	"17.515639842159"
"8"	"18"	"17.4046963924864"
"9"	"19"	"21.5533905221515"
"11"	"20"	"13.677951870894"
"11"	"21"	"18.1477932464113"
"11"	"22"	"14.7450558193196"
"11"	"23"	"15.9414697622527"
"12"	"24"	"21.5090072242378"
"13"	"25"	"24.7872740199099"
"13"	"26"	"21.2700073035134"
"13"	"27"	"24.9701243858426"
"13"	"28"	"25.3563148832698"
"15"	"29"	"22.6962613261133"
"15"	"30"	"21.7408036947995"
"15"	"31"	"22.1459466967829"
"15"	"32"	"23.0708827490671"
"15"	"33"	"23.7693238533688"
"15"	"34"	"26.3968841103179"
"15"	"35"	"23.379101271865"
"18"	"36"	"25.2460168134794"
"18"	"37"	"21.9537041115524"
"19"	"38"	"31.7557134456167"
"19"	"39"	"29.4012437584794"
"19"	"40"	"28.9341331756441"
"19"	"41"	"30.6609422928665"
"19"	"42"	"30.2456173268102"
"19"	"43"	"24.892434642857"
"19"	"44"	"31.2567546400618"
"27"	"45"	"29.9444020439968"
"28"	"46"	"29.7623982244351"
"28"	"47"	"28.05446777517"
"28"	"48"	"31.3825119459421"
"33"	"49"	"30.1981764839661"
"35"	"50"	"30.1043462850245"
"40"	"51"	"28.991342675043"
"49"	"52"	"36.6250584354618"
"49"	"53"	"36.5094488895677"
"49"	"54"	"35.7796236211969"
"49"	"55"	"36.8937051414121"
"49"	"56"	"35.1880322048973"
"49"	"57"	"36.1361843413313"
"49"	"58"	"34.5145588642275"
"49"	"59"	"38.1556396785001"
"49"	"60"	"38.4795202073081"
"49"	"61"	"36.8523306998795"
"49"	"62"	"35.2941452173286"
"49"	"63"	"33.0508849586819"
"49"	"64"	"37.9338173441681"
"49"	"65"	"35.9904993689858"
"49"	"66"	"36.2814954738691"
"49"	"67"	"34.4545548993555"
"49"	"68"	"36.8285410916488"
"49"	"69"	"34.0155590838682"
"49"	"70"	"36.3244051719423"
"49"	"71"	"34.9623214205566"
"49"	"72"	"37.9698149259587"
"49"	"73"	"36.753909238058"
"49"	"74"	"38.3889694313599"
"49"	"75"	"36.2148193976104"
"49"	"76"	"33.7108998924314"
