exposure	asym	sequenced	caseid	infector	adult	missed	onset	sample	endinfectious	new_cases	infector_sample_time	infector_adult	isolated_time	isolated	week
0	FALSE	TRUE	1	0	FALSE	TRUE	7.15792987967955	9.34017947377509	14.2965470024463	0			10.3102253865251	TRUE	1
5.37604445305528	FALSE	TRUE	2	1	TRUE	TRUE	11.3177369899426	12.4233434808562	12.7599059957865	0	9.34017947377509	FALSE	12.6370737216059	TRUE	1
5.15467460238679	FALSE	TRUE	3	1	FALSE	TRUE	11.5791145032851	12.7241438231428	13.6379388260182	0	9.34017947377509	FALSE	12.8984512349484	TRUE	1
5.58924260242212	FALSE	TRUE	4	1	TRUE	TRUE	13.916165546541	15.7558065226331	18.3748170420805	0	9.34017947377509	FALSE	15.2355022782042	TRUE	1
6.00624137618801	FALSE	TRUE	5	1	TRUE	TRUE	13.0160560058261	15.1920104206766	17.4881315877819	0	9.34017947377509	FALSE	14.3353927374894	TRUE	1
5.30841204337652	FALSE	TRUE	6	1	FALSE	TRUE	16.6024122121801	18.1954430021853	19.4267025979205	0	9.34017947377509	FALSE	17.9217489438433	TRUE	2
9.5066542020095	FALSE	TRUE	7	2	FALSE	TRUE	17.3470565881273	18.7896310275399	21.8522711483559	0	12.4233434808562	TRUE	18.5527084568247	TRUE	2
11.6043696142891	FALSE	TRUE	8	2	TRUE	TRUE	20.1387171577339	22.6246864323756	23.159986064264	0	12.4233434808562	TRUE	21.3443690264314	TRUE	2
10.9427621057927	FALSE	TRUE	9	2	FALSE	TRUE	16.4050066639848	17.4679310123717	21.089321797399	0	12.4233434808562	TRUE	17.6106585326822	TRUE	2
10.4758835202066	FALSE	TRUE	10	2	TRUE	TRUE	17.1319897053444	18.3388885919589	18.5648415401022	0	12.4233434808562	TRUE	18.3376415740418	TRUE	2
11.3987799227316	FALSE	TRUE	11	3	FALSE	TRUE	22.2080916016001	24.2220910776642	25.8424621802445	0	12.7241438231428	FALSE	23.4137434702976	TRUE	3
11.0194921791636	FALSE	TRUE	12	5	TRUE	TRUE	15.3694068055549	18.0458035585589	18.3985292085305	0	15.1920104206766	TRUE	16.5750586742524	TRUE	2
11.6348640563595	FALSE	TRUE	13	6	FALSE	TRUE	16.8702939662386	18.9144292243428	19.0916443936925	0	18.1954430021853	FALSE	18.0759458349361	TRUE	2
10.4430142699017	FALSE	TRUE	14	6	FALSE	TRUE	11.5749235946493	13.0522397190535	15.2656811512725	0	18.1954430021853	FALSE	12.7805754633467	TRUE	1
10.8811387456005	FALSE	TRUE	15	6	FALSE	TRUE	15.5682899406086	18.3656649511643	20.5241306692597	0	18.1954430021853	FALSE	16.773941809306	TRUE	2
9.31639638332695	FALSE	TRUE	16	6	FALSE	TRUE	13.6425949603087	15.6339663690268	15.4640212509978	0	18.1954430021853	FALSE	14.8482468290061	TRUE	1
10.4257177433636	FALSE	TRUE	17	6	FALSE	TRUE	18.6264205357543	19.9929768627851	24.6969783988622	0	18.1954430021853	FALSE	19.8320724044517	TRUE	2
10.5261909434362	FALSE	TRUE	18	6	FALSE	TRUE	22.3146774310088	23.589745816682	23.8028795685666	0	18.1954430021853	FALSE	23.5203292997063	TRUE	3
10.0365084263776	FALSE	TRUE	19	6	FALSE	TRUE	18.5476896653745	20.9891191891758	19.8400380796087	0	18.1954430021853	FALSE	19.753341534072	TRUE	2
10.1563401911367	FALSE	TRUE	20	6	FALSE	TRUE	15.843535961909	17.8517293171352	17.6579125109123	0	18.1954430021853	FALSE	17.0491878306064	TRUE	2
11.0802100114449	FALSE	TRUE	21	6	TRUE	TRUE	15.9688633270846	18.0424757244264	18.1935720179165	0	18.1954430021853	FALSE	17.1745151957821	TRUE	2
11.8849742955411	FALSE	TRUE	22	6	TRUE	TRUE	18.3204090647348	19.6211041128288	19.5112489105058	0	18.1954430021853	FALSE	19.5260609334323	TRUE	2
10.3771115299947	FALSE	TRUE	23	6	FALSE	TRUE	12.2100713797367	15.3816886172167	13.9991877504379	0	18.1954430021853	FALSE	13.4157232484342	TRUE	1
10.6071001139769	FALSE	TRUE	24	6	FALSE	TRUE	14.1210002885703	15.7307264630243	24.333101499854	0	18.1954430021853	FALSE	15.3266521572678	TRUE	2
10.4334813688155	FALSE	TRUE	25	6	FALSE	TRUE	14.9476684388044	16.2192265589112	19.7238457569373	0	18.1954430021853	FALSE	16.1533203075018	TRUE	2
9.89269960212083	FALSE	TRUE	26	6	FALSE	TRUE	17.0687847194752	18.0227748748823	22.3390767439294	0	18.1954430021853	FALSE	18.2744365881726	TRUE	2
11.1970844635749	FALSE	TRUE	27	6	FALSE	TRUE	15.0610229915479	17.7513523300696	19.608657195289	0	18.1954430021853	FALSE	16.2666748602454	TRUE	2
10.5629370571035	FALSE	TRUE	28	6	FALSE	TRUE	16.2651668822741	18.0516266270814	19.5532990543068	0	18.1954430021853	FALSE	17.4708187509716	TRUE	2
17.5444994852065	FALSE	TRUE	29	8	TRUE	TRUE	24.1922029035764	25.2377280881804	26.9237258645737	0	22.6246864323756	TRUE	29.2175450532524	TRUE	3
15.4549636945437	FALSE	TRUE	30	12	TRUE	TRUE	19.7364094736617	20.8846130793005	23.278271057274	0	18.0458035585589	TRUE	24.7617516233377	TRUE	2
15.9459840902939	FALSE	TRUE	31	12	TRUE	TRUE	23.7661022744926	25.8677820311965	25.6958437431985	0	18.0458035585589	TRUE	28.7914444241686	TRUE	3
16.218162827258	FALSE	TRUE	32	12	TRUE	TRUE	19.3423390654095	21.0893419011068	23.465134322214	2	18.0458035585589	TRUE	24.3676812150855	TRUE	2
