NODE,1,.,"",""
NODE,2,.,"",""
NODE,3,.,"",""
NODE,4,.,"",""
NODE,5,.,"",""
NODE,6,.,"",""
NODE,7,.,"",""
NODE,8,.,"",""
NODE,9,.,"",""
NODE,10,.,"",""
NODE,11,.,"",""
NODE,12,.,"",""
NODE,13,.,"",""
NODE,14,.,"",""
NODE,15,.,"",""
NODE,16,.,"",""
NODE,17,.,"",""
NODE,18,.,"",""
NODE,19,.,"",""
NODE,20,.,"",""
NODE,21,.,"",""
NODE,22,.,"",""
NODE,23,.,"",""
NODE,24,.,"",""
NODE,25,.,"",""
NODE,26,.,"",""
NODE,27,.,"",""
NODE,28,.,"",""
NODE,29,.,"",""
NODE,30,.,"",""
NODE,31,.,"",""
NODE,32,.,"",""
NODE,33,.,"",""
NODE,34,.,"",""
NODE,35,.,"",""
NODE,36,.,"",""
NODE,37,.,"",""
NODE,38,.,"",""
NODE,39,.,"",""
NODE,40,.,"",""
NODE,41,.,"",""
NODE,42,.,"",""
NODE,43,.,"",""
NODE,44,.,"",""
NODE,45,.,"",""
NODE,46,.,"",""
NODE,47,.,"",""
NODE,48,.,"",""
NODE,49,.,"",""
NODE,50,.,"",""
NODE,51,.,"",""
NODE,52,.,"",""
EDGE,0,1,.,u
EDGE,1,2,.,u
EDGE,1,3,.,u
EDGE,1,4,.,u
EDGE,1,5,.,u
EDGE,1,6,.,u
EDGE,1,7,.,u
EDGE,1,8,.,u
EDGE,1,9,.,u
EDGE,1,10,.,u
EDGE,4,11,.,u
EDGE,5,12,.,u
EDGE,6,13,.,u
EDGE,6,14,.,u
EDGE,6,15,.,u
EDGE,6,16,.,u
EDGE,6,17,.,u
EDGE,6,18,.,u
EDGE,6,19,.,u
EDGE,6,20,.,u
EDGE,6,21,.,u
EDGE,6,22,.,u
EDGE,6,23,.,u
EDGE,6,24,.,u
EDGE,6,25,.,u
EDGE,6,26,.,u
EDGE,6,27,.,u
EDGE,6,28,.,u
EDGE,8,29,.,u
EDGE,8,30,.,u
EDGE,8,31,.,u
EDGE,8,32,.,u
EDGE,8,33,.,u
EDGE,8,34,.,u
EDGE,9,35,.,u
EDGE,12,36,.,u
EDGE,12,37,.,u
EDGE,12,38,.,u
EDGE,12,39,.,u
EDGE,14,40,.,u
EDGE,14,41,.,u
EDGE,14,42,.,u
EDGE,14,43,.,u
EDGE,14,44,.,u
EDGE,39,45,.,u
EDGE,39,46,.,u
EDGE,42,47,.,u
EDGE,42,48,.,u
EDGE,45,49,.,u
EDGE,45,50,.,u
EDGE,46,51,.,u
EDGE,48,52,.,u
